,number,value,datetime_start,datetime_complete,duration,params_copy_X,params_fit_intercept,state
0,0,0.11939708607125857,2024-07-09 12:10:46.022295,2024-07-09 12:10:47.971116,0 days 00:00:01.948821,False,True,COMPLETE
1,1,0.11939708607124214,2024-07-09 12:10:47.971250,2024-07-09 12:10:50.005006,0 days 00:00:02.033756,True,False,COMPLETE
2,2,0.11939708607124214,2024-07-09 12:10:50.005179,2024-07-09 12:10:52.030714,0 days 00:00:02.025535,False,False,COMPLETE
3,3,0.11939708607124214,2024-07-09 12:10:52.030848,2024-07-09 12:10:53.924547,0 days 00:00:01.893699,True,False,COMPLETE
4,4,0.11939708607125857,2024-07-09 12:10:53.924694,2024-07-09 12:10:55.800729,0 days 00:00:01.876035,True,True,COMPLETE
5,5,0.11939708607125857,2024-07-09 12:10:55.800849,2024-07-09 12:10:57.691827,0 days 00:00:01.890978,False,True,COMPLETE
6,6,0.11939708607124214,2024-07-09 12:10:57.691950,2024-07-09 12:10:59.596383,0 days 00:00:01.904433,True,False,COMPLETE
7,7,0.11939708607125857,2024-07-09 12:10:59.596526,2024-07-09 12:11:01.504932,0 days 00:00:01.908406,False,True,COMPLETE
8,8,0.11939708607125857,2024-07-09 12:11:01.505064,2024-07-09 12:11:03.367253,0 days 00:00:01.862189,False,True,COMPLETE
9,9,0.11939708607124214,2024-07-09 12:11:03.367382,2024-07-09 12:26:06.598269,0 days 00:15:03.230887,False,False,COMPLETE
10,10,0.11939708607124214,2024-07-09 12:26:06.598397,2024-07-09 12:26:08.860121,0 days 00:00:02.261724,True,False,COMPLETE
11,11,0.11939708607124214,2024-07-09 12:26:08.860258,2024-07-09 12:26:10.980650,0 days 00:00:02.120392,True,False,COMPLETE
12,12,0.11939708607124214,2024-07-09 12:26:10.980795,2024-07-09 12:26:12.874322,0 days 00:00:01.893527,False,False,COMPLETE
13,13,0.11939708607124214,2024-07-09 12:26:12.874452,2024-07-09 12:26:14.862280,0 days 00:00:01.987828,True,False,COMPLETE
14,14,0.11939708607124214,2024-07-09 12:26:14.862415,2024-07-09 12:26:16.947431,0 days 00:00:02.085016,False,False,COMPLETE
15,15,0.11939708607124214,2024-07-09 12:26:16.947556,2024-07-09 12:26:18.965040,0 days 00:00:02.017484,True,False,COMPLETE
16,16,0.11939708607124214,2024-07-09 12:26:18.965177,2024-07-09 12:26:21.025061,0 days 00:00:02.059884,True,False,COMPLETE
17,17,0.11939708607124214,2024-07-09 12:26:21.025218,2024-07-09 12:26:23.089396,0 days 00:00:02.064178,False,False,COMPLETE
18,18,0.11939708607124214,2024-07-09 12:26:23.089529,2024-07-09 12:26:25.093719,0 days 00:00:02.004190,True,False,COMPLETE
19,19,0.11939708607124214,2024-07-09 12:26:25.093868,2024-07-09 12:26:27.119951,0 days 00:00:02.026083,False,False,COMPLETE
20,20,0.11939708607124214,2024-07-09 12:26:27.120093,2024-07-09 12:26:29.183422,0 days 00:00:02.063329,False,False,COMPLETE
21,21,0.11939708607124214,2024-07-09 12:26:29.183556,2024-07-09 12:26:31.204236,0 days 00:00:02.020680,True,False,COMPLETE
22,22,0.11939708607124214,2024-07-09 12:26:31.204373,2024-07-09 12:26:33.192003,0 days 00:00:01.987630,True,False,COMPLETE
23,23,0.11939708607124214,2024-07-09 12:26:33.192196,2024-07-09 12:26:35.182934,0 days 00:00:01.990738,True,False,COMPLETE
24,24,0.11939708607124214,2024-07-09 12:26:35.183051,2024-07-09 12:26:37.151679,0 days 00:00:01.968628,True,False,COMPLETE
25,25,0.11939708607124214,2024-07-09 12:26:37.151833,2024-07-09 12:26:39.156825,0 days 00:00:02.004992,True,False,COMPLETE
26,26,0.11939708607125857,2024-07-09 12:26:39.156973,2024-07-09 12:26:41.110979,0 days 00:00:01.954006,True,True,COMPLETE
27,27,0.11939708607124214,2024-07-09 12:26:41.111108,2024-07-09 12:26:43.074124,0 days 00:00:01.963016,True,False,COMPLETE
28,28,0.11939708607124214,2024-07-09 12:26:43.074246,2024-07-09 12:26:45.020246,0 days 00:00:01.946000,False,False,COMPLETE
29,29,0.11939708607125857,2024-07-09 12:26:45.020386,2024-07-09 12:26:47.060246,0 days 00:00:02.039860,False,True,COMPLETE
30,30,0.11939708607124214,2024-07-09 12:26:47.060378,2024-07-09 12:26:49.011721,0 days 00:00:01.951343,True,False,COMPLETE
31,31,0.11939708607124214,2024-07-09 12:26:49.011862,2024-07-09 12:26:51.005299,0 days 00:00:01.993437,True,False,COMPLETE
32,32,0.11939708607124214,2024-07-09 12:26:51.005444,2024-07-09 12:26:53.019049,0 days 00:00:02.013605,True,False,COMPLETE
33,33,0.11939708607124214,2024-07-09 12:26:53.019181,2024-07-09 12:26:54.947153,0 days 00:00:01.927972,True,False,COMPLETE
34,34,0.11939708607125857,2024-07-09 12:26:54.947297,2024-07-09 12:26:57.084241,0 days 00:00:02.136944,True,True,COMPLETE
35,35,0.11939708607125857,2024-07-09 12:26:57.084390,2024-07-09 12:26:59.090616,0 days 00:00:02.006226,True,True,COMPLETE
36,36,0.11939708607124214,2024-07-09 12:26:59.090772,2024-07-09 12:27:01.123433,0 days 00:00:02.032661,False,False,COMPLETE
37,37,0.11939708607124214,2024-07-09 12:27:01.123577,2024-07-09 12:27:03.080534,0 days 00:00:01.956957,True,False,COMPLETE
38,38,0.11939708607125857,2024-07-09 12:27:03.080678,2024-07-09 12:27:05.013398,0 days 00:00:01.932720,False,True,COMPLETE
39,39,0.11939708607124214,2024-07-09 12:27:05.013533,2024-07-09 12:27:07.108228,0 days 00:00:02.094695,True,False,COMPLETE
40,40,0.11939708607124214,2024-07-09 12:27:07.108370,2024-07-09 12:27:09.205464,0 days 00:00:02.097094,False,False,COMPLETE
41,41,0.11939708607124214,2024-07-09 12:27:09.205620,2024-07-09 12:27:11.213001,0 days 00:00:02.007381,False,False,COMPLETE
42,42,0.11939708607124214,2024-07-09 12:27:11.213144,2024-07-09 12:27:13.162506,0 days 00:00:01.949362,False,False,COMPLETE
43,43,0.11939708607124214,2024-07-09 12:27:13.162635,2024-07-09 12:27:15.174421,0 days 00:00:02.011786,False,False,COMPLETE
44,44,0.11939708607124214,2024-07-09 12:27:15.174570,2024-07-09 12:27:17.180711,0 days 00:00:02.006141,False,False,COMPLETE
45,45,0.11939708607124214,2024-07-09 12:27:17.180861,2024-07-09 12:27:19.116053,0 days 00:00:01.935192,False,False,COMPLETE
46,46,0.11939708607124214,2024-07-09 12:27:19.116189,2024-07-09 12:27:21.077326,0 days 00:00:01.961137,True,False,COMPLETE
