,number,value,datetime_start,datetime_complete,duration,params_copy_X,params_fit_intercept,state
0,0,5166339.688033756,2024-07-09 12:05:26.512720,2024-07-09 12:05:29.102447,0 days 00:00:02.589727,True,True,COMPLETE
1,1,5166339.688033756,2024-07-09 12:05:29.102567,2024-07-09 12:05:31.300141,0 days 00:00:02.197574,False,True,COMPLETE
2,2,5166339.688033756,2024-07-09 12:05:31.300274,2024-07-09 12:05:33.366142,0 days 00:00:02.065868,True,True,COMPLETE
3,3,5166339.688033756,2024-07-09 12:05:33.366281,2024-07-09 12:05:35.482844,0 days 00:00:02.116563,False,True,COMPLETE
4,4,5166339.8056512065,2024-07-09 12:05:35.482987,2024-07-09 12:05:37.635101,0 days 00:00:02.152114,True,False,COMPLETE
5,5,5166339.688033756,2024-07-09 12:05:37.635253,2024-07-09 12:05:39.817220,0 days 00:00:02.181967,True,True,COMPLETE
6,6,5166339.688033756,2024-07-09 12:05:39.817387,2024-07-09 12:05:41.835332,0 days 00:00:02.017945,False,True,COMPLETE
7,7,5166339.8056512065,2024-07-09 12:05:41.835470,2024-07-09 12:05:43.856680,0 days 00:00:02.021210,False,False,COMPLETE
8,8,5166339.8056512065,2024-07-09 12:05:43.856827,2024-07-09 12:05:45.902974,0 days 00:00:02.046147,False,False,COMPLETE
9,9,5166339.688033756,2024-07-09 12:05:45.903118,2024-07-09 12:05:47.914211,0 days 00:00:02.011093,True,True,COMPLETE
10,10,5166339.8056512065,2024-07-09 12:05:47.914368,2024-07-09 12:05:49.955642,0 days 00:00:02.041274,True,False,COMPLETE
11,11,5166339.688033756,2024-07-09 12:05:49.955785,2024-07-09 12:05:51.971772,0 days 00:00:02.015987,False,True,COMPLETE
12,12,5166339.688033756,2024-07-09 12:05:51.971929,2024-07-09 12:05:54.019943,0 days 00:00:02.048014,True,True,COMPLETE
13,13,5166339.688033756,2024-07-09 12:05:54.020070,2024-07-09 12:05:56.029420,0 days 00:00:02.009350,False,True,COMPLETE
14,14,5166339.688033756,2024-07-09 12:05:56.029569,2024-07-09 12:05:58.152905,0 days 00:00:02.123336,True,True,COMPLETE
15,15,5166339.688033756,2024-07-09 12:05:58.153037,2024-07-09 12:06:00.180497,0 days 00:00:02.027460,False,True,COMPLETE
16,16,5166339.688033756,2024-07-09 12:06:00.180645,2024-07-09 12:06:02.212254,0 days 00:00:02.031609,True,True,COMPLETE
17,17,5166339.688033756,2024-07-09 12:06:02.212387,2024-07-09 12:06:04.241475,0 days 00:00:02.029088,False,True,COMPLETE
18,18,5166339.8056512065,2024-07-09 12:06:04.241625,2024-07-09 12:06:06.296923,0 days 00:00:02.055298,True,False,COMPLETE
19,19,5166339.688033756,2024-07-09 12:06:06.297091,2024-07-09 12:06:08.279816,0 days 00:00:01.982725,False,True,COMPLETE
20,20,5166339.688033756,2024-07-09 12:06:08.279955,2024-07-09 12:06:10.338818,0 days 00:00:02.058863,True,True,COMPLETE
21,21,5166339.688033756,2024-07-09 12:06:10.338969,2024-07-09 12:06:12.433311,0 days 00:00:02.094342,True,True,COMPLETE
22,22,5166339.688033756,2024-07-09 12:06:12.433445,2024-07-09 12:06:14.422339,0 days 00:00:01.988894,True,True,COMPLETE
23,23,5166339.688033756,2024-07-09 12:06:14.422474,2024-07-09 12:06:16.459446,0 days 00:00:02.036972,True,True,COMPLETE
24,24,5166339.688033756,2024-07-09 12:06:16.459589,2024-07-09 12:06:18.484082,0 days 00:00:02.024493,True,True,COMPLETE
25,25,5166339.688033756,2024-07-09 12:06:18.484227,2024-07-09 12:06:20.507797,0 days 00:00:02.023570,True,True,COMPLETE
26,26,5166339.688033756,2024-07-09 12:06:20.507936,2024-07-09 12:06:22.513748,0 days 00:00:02.005812,False,True,COMPLETE
27,27,5166339.8056512065,2024-07-09 12:06:22.513892,2024-07-09 12:06:24.530831,0 days 00:00:02.016939,True,False,COMPLETE
28,28,5166339.688033756,2024-07-09 12:06:24.530993,2024-07-09 12:06:26.576997,0 days 00:00:02.046004,False,True,COMPLETE
29,29,5166339.688033756,2024-07-09 12:06:26.577152,2024-07-09 12:06:28.606832,0 days 00:00:02.029680,False,True,COMPLETE
30,30,5166339.688033756,2024-07-09 12:06:28.606965,2024-07-09 12:06:30.623506,0 days 00:00:02.016541,True,True,COMPLETE
