,number,value,datetime_start,datetime_complete,duration,params_copy_X,params_fit_intercept,state
0,0,1073728.7512041936,2024-07-04 16:46:30.011476,2024-07-04 16:46:32.023582,0 days 00:00:02.012106,True,False,COMPLETE
1,1,1073728.7512041936,2024-07-04 16:46:32.023716,2024-07-04 16:46:34.066188,0 days 00:00:02.042472,False,False,COMPLETE
2,2,1070991.7884971937,2024-07-04 16:46:34.066312,2024-07-04 16:46:36.220179,0 days 00:00:02.153867,True,True,COMPLETE
3,3,1073728.7512041936,2024-07-04 16:46:36.220338,2024-07-04 16:46:38.175856,0 days 00:00:01.955518,False,False,COMPLETE
4,4,1070991.7884971937,2024-07-04 16:46:38.175994,2024-07-04 16:46:40.246691,0 days 00:00:02.070697,False,True,COMPLETE
5,5,1073728.7512041936,2024-07-04 16:46:40.246822,2024-07-04 16:46:42.205190,0 days 00:00:01.958368,False,False,COMPLETE
6,6,1073728.7512041936,2024-07-04 16:46:42.205338,2024-07-04 16:46:44.209634,0 days 00:00:02.004296,False,False,COMPLETE
7,7,1070991.7884971937,2024-07-04 16:46:44.209861,2024-07-04 16:46:46.239072,0 days 00:00:02.029211,False,True,COMPLETE
8,8,1073728.7512041936,2024-07-04 16:46:46.239215,2024-07-04 16:46:48.239427,0 days 00:00:02.000212,False,False,COMPLETE
9,9,1070991.7884971937,2024-07-04 16:46:48.239559,2024-07-04 16:46:50.227234,0 days 00:00:01.987675,True,True,COMPLETE
10,10,1070991.7884971937,2024-07-04 16:46:50.227412,2024-07-04 16:46:52.184538,0 days 00:00:01.957126,True,True,COMPLETE
11,11,1070991.7884971937,2024-07-04 16:46:52.184678,2024-07-04 16:46:54.239990,0 days 00:00:02.055312,True,True,COMPLETE
12,12,1070991.7884971937,2024-07-04 16:46:54.240144,2024-07-04 16:46:56.377393,0 days 00:00:02.137249,True,True,COMPLETE
13,13,1070991.7884971937,2024-07-04 16:46:56.377540,2024-07-04 16:46:58.409213,0 days 00:00:02.031673,True,True,COMPLETE
14,14,1070991.7884971937,2024-07-04 16:46:58.409355,2024-07-04 16:47:00.467140,0 days 00:00:02.057785,False,True,COMPLETE
15,15,1070991.7884971937,2024-07-04 16:47:00.467298,2024-07-04 16:47:02.422830,0 days 00:00:01.955532,True,True,COMPLETE
16,16,1070991.7884971937,2024-07-04 16:47:02.422973,2024-07-04 16:47:04.463322,0 days 00:00:02.040349,True,True,COMPLETE
17,17,1070991.7884971937,2024-07-04 16:47:04.463465,2024-07-04 16:47:06.439289,0 days 00:00:01.975824,False,True,COMPLETE
18,18,1070991.7884971937,2024-07-04 16:47:06.439435,2024-07-04 16:47:08.505396,0 days 00:00:02.065961,False,True,COMPLETE
19,19,1070991.7884971937,2024-07-04 16:47:08.505547,2024-07-04 16:47:10.478103,0 days 00:00:01.972556,True,True,COMPLETE
20,20,1070991.7884971937,2024-07-04 16:47:10.478241,2024-07-04 16:47:12.493352,0 days 00:00:02.015111,True,True,COMPLETE
21,21,1070991.7884971937,2024-07-04 16:47:12.493501,2024-07-04 16:47:14.472567,0 days 00:00:01.979066,False,True,COMPLETE
22,22,1070991.7884971937,2024-07-04 16:47:14.472703,2024-07-04 16:47:16.498362,0 days 00:00:02.025659,False,True,COMPLETE
23,23,1070991.7884971937,2024-07-04 16:47:16.498504,2024-07-04 16:47:18.474030,0 days 00:00:01.975526,False,True,COMPLETE
24,24,1070991.7884971937,2024-07-04 16:47:18.474171,2024-07-04 16:47:20.546583,0 days 00:00:02.072412,False,True,COMPLETE
