,number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
0,0,0.20859360926004986,2024-07-09 12:30:45.860444,2024-07-09 12:30:47.937455,0 days 00:00:02.077011,True,5.0,sqrt,4,5,10,COMPLETE
1,1,0.030388777400536873,2024-07-09 12:30:47.937597,2024-07-09 12:30:50.127509,0 days 00:00:02.189912,False,10.0,log2,4,10,500,COMPLETE
2,2,0.029567737426638034,2024-07-09 12:30:50.127669,2024-07-09 12:30:52.115957,0 days 00:00:01.988288,False,,sqrt,4,10,100,COMPLETE
3,3,0.03135161418983497,2024-07-09 12:30:52.116139,2024-07-09 12:30:54.114138,0 days 00:00:01.997999,True,20.0,sqrt,1,10,100,COMPLETE
4,4,0.026904435847559624,2024-07-09 12:30:54.114340,2024-07-09 12:30:56.209451,0 days 00:00:02.095111,False,20.0,log2,4,10,200,COMPLETE
5,5,0.024433890003375574,2024-07-09 12:30:56.209623,2024-07-09 12:30:58.290942,0 days 00:00:02.081319,False,10.0,sqrt,2,2,200,COMPLETE
6,6,0.0233077081039729,2024-07-09 12:30:58.291109,2024-07-09 12:31:00.260382,0 days 00:00:01.969273,False,50.0,sqrt,1,10,50,COMPLETE
7,7,0.08494617960614222,2024-07-09 12:31:00.260552,2024-07-09 12:31:02.609401,0 days 00:00:02.348849,True,5.0,log2,1,10,500,COMPLETE
8,8,0.08337618815084895,2024-07-09 12:31:02.609573,2024-07-09 12:31:04.698682,0 days 00:00:02.089109,True,5.0,log2,1,2,200,COMPLETE
9,9,0.03007272301765459,2024-07-09 12:31:04.698892,2024-07-09 12:31:06.660229,0 days 00:00:01.961337,False,20.0,log2,2,5,10,COMPLETE
10,10,0.020037372748157346,2024-07-09 12:31:06.660411,2024-07-09 12:31:08.626520,0 days 00:00:01.966109,False,50.0,sqrt,1,2,50,COMPLETE
11,11,0.020037372748157353,2024-07-09 12:31:08.626714,2024-07-09 12:31:10.579239,0 days 00:00:01.952525,False,50.0,sqrt,1,2,50,COMPLETE
12,12,0.020037372748157357,2024-07-09 12:31:10.579430,2024-07-09 12:31:12.449550,0 days 00:00:01.870120,False,50.0,sqrt,1,2,50,COMPLETE
13,13,0.02003737274815734,2024-07-09 12:31:12.449745,2024-07-09 12:31:14.382751,0 days 00:00:01.933006,False,50.0,sqrt,1,2,50,COMPLETE
14,14,0.020037372748157322,2024-07-09 12:31:14.382925,2024-07-09 12:31:16.253905,0 days 00:00:01.870980,False,50.0,sqrt,1,2,50,COMPLETE
15,15,0.02003737274815735,2024-07-09 12:31:16.254101,2024-07-09 12:31:18.209715,0 days 00:00:01.955614,False,50.0,sqrt,1,2,50,COMPLETE
16,16,0.02393436864890996,2024-07-09 12:31:18.209914,2024-07-09 12:31:20.095904,0 days 00:00:01.885990,False,,sqrt,2,2,50,COMPLETE
17,17,0.020037372748157343,2024-07-09 12:31:20.096058,2024-07-09 12:31:22.012387,0 days 00:00:01.916329,False,50.0,sqrt,1,2,50,COMPLETE
18,18,0.028688497612289587,2024-07-09 12:31:22.012566,2024-07-09 12:31:23.983148,0 days 00:00:01.970582,True,50.0,sqrt,1,5,50,COMPLETE
19,19,0.031525307899018334,2024-07-09 12:31:23.983323,2024-07-09 12:31:25.849849,0 days 00:00:01.866526,False,50.0,sqrt,2,2,10,COMPLETE
20,20,0.020792343825652867,2024-07-09 12:31:25.850035,2024-07-09 12:31:27.766244,0 days 00:00:01.916209,False,10.0,sqrt,1,2,100,COMPLETE
21,21,0.020037372748157332,2024-07-09 12:31:27.766438,2024-07-09 12:31:29.699306,0 days 00:00:01.932868,False,50.0,sqrt,1,2,50,COMPLETE
22,22,0.020037372748157343,2024-07-09 12:31:29.699475,2024-07-09 12:31:31.660550,0 days 00:00:01.961075,False,50.0,sqrt,1,2,50,COMPLETE
23,23,0.020037372748157336,2024-07-09 12:31:31.660713,2024-07-09 12:31:33.569536,0 days 00:00:01.908823,False,50.0,sqrt,1,2,50,COMPLETE
24,24,0.020037372748157343,2024-07-09 12:31:33.569725,2024-07-09 12:31:35.483679,0 days 00:00:01.913954,False,,sqrt,1,2,50,COMPLETE
25,25,0.019970519191160725,2024-07-09 12:31:35.483888,2024-07-09 12:31:37.477807,0 days 00:00:01.993919,False,50.0,sqrt,1,5,50,COMPLETE
26,26,0.026328740386513925,2024-07-09 12:31:37.477998,2024-07-09 12:31:39.812381,0 days 00:00:02.334383,True,50.0,log2,1,5,500,COMPLETE
