,number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
0,0,1086620.132545222,2024-07-09 12:08:54.591150,2024-07-09 12:08:57.163874,0 days 00:00:02.572724,True,20.0,sqrt,2,5,500,COMPLETE
1,1,3190734.9775762768,2024-07-09 12:08:57.164029,2024-07-09 12:08:59.252278,0 days 00:00:02.088249,False,5.0,sqrt,1,5,50,COMPLETE
2,2,927024.8327560577,2024-07-09 12:08:59.252441,2024-07-09 12:09:01.700119,0 days 00:00:02.447678,False,,log2,4,5,500,COMPLETE
3,3,495603.14627802686,2024-07-09 12:09:01.700289,2024-07-09 12:09:03.735357,0 days 00:00:02.035068,False,,log2,1,2,10,COMPLETE
4,4,3133840.561257111,2024-07-09 12:09:03.735550,2024-07-09 12:09:05.927866,0 days 00:00:02.192316,True,5.0,log2,4,2,100,COMPLETE
5,5,1109005.344164872,2024-07-09 12:09:05.928044,2024-07-09 12:09:08.093869,0 days 00:00:02.165825,True,,sqrt,2,5,100,COMPLETE
6,6,2873504.2063840507,2024-07-09 12:09:08.094039,2024-07-09 12:09:10.405940,0 days 00:00:02.311901,False,5.0,sqrt,2,2,500,COMPLETE
7,7,432173.42961210763,2024-07-09 12:09:10.406115,2024-07-09 12:09:12.602150,0 days 00:00:02.196035,False,50.0,sqrt,1,2,100,COMPLETE
8,8,3662575.0076364027,2024-07-09 12:09:12.602328,2024-07-09 12:09:14.715789,0 days 00:00:02.113461,True,5.0,log2,4,2,10,COMPLETE
9,9,804607.2191572249,2024-07-09 12:09:14.715970,2024-07-09 12:09:16.816684,0 days 00:00:02.100714,False,,log2,2,10,50,COMPLETE
10,10,747638.6819164888,2024-07-09 12:09:16.816862,2024-07-09 12:09:19.022164,0 days 00:00:02.205302,False,50.0,sqrt,1,10,200,COMPLETE
11,11,919053.6314273846,2024-07-09 12:09:19.022352,2024-07-09 12:09:21.074718,0 days 00:00:02.052366,False,10.0,log2,1,2,10,COMPLETE
12,12,432173.42961210763,2024-07-09 12:09:21.074913,2024-07-09 12:09:23.231129,0 days 00:00:02.156216,False,50.0,sqrt,1,2,100,COMPLETE
13,13,432173.42961210763,2024-07-09 12:09:23.231318,2024-07-09 12:09:25.397481,0 days 00:00:02.166163,False,50.0,sqrt,1,2,100,COMPLETE
14,14,432173.42961210763,2024-07-09 12:09:25.397697,2024-07-09 12:09:27.553369,0 days 00:00:02.155672,False,50.0,sqrt,1,2,100,COMPLETE
15,15,432173.42961210763,2024-07-09 12:09:27.553563,2024-07-09 12:09:29.686691,0 days 00:00:02.133128,False,50.0,sqrt,1,2,100,COMPLETE
16,16,747638.6819164887,2024-07-09 12:09:29.686913,2024-07-09 12:09:31.871580,0 days 00:00:02.184667,False,50.0,sqrt,1,10,200,COMPLETE
17,17,430727.8483320316,2024-07-09 12:09:31.871747,2024-07-09 12:09:34.018091,0 days 00:00:02.146344,False,20.0,sqrt,1,2,100,COMPLETE
18,18,782231.0557301688,2024-07-09 12:09:34.018283,2024-07-09 12:09:36.159054,0 days 00:00:02.140771,True,20.0,sqrt,1,2,100,COMPLETE
19,19,980877.1667549586,2024-07-09 12:09:36.159243,2024-07-09 12:09:38.267656,0 days 00:00:02.108413,False,20.0,sqrt,4,10,100,COMPLETE
20,20,617201.4503254414,2024-07-09 12:09:38.267841,2024-07-09 12:09:40.354311,0 days 00:00:02.086470,False,10.0,sqrt,1,2,50,COMPLETE
21,21,430727.8483320316,2024-07-09 12:09:40.354515,2024-07-09 12:09:42.506445,0 days 00:00:02.151930,False,20.0,sqrt,1,2,100,COMPLETE
22,22,430727.8483320316,2024-07-09 12:09:42.506617,2024-07-09 12:09:44.671816,0 days 00:00:02.165199,False,20.0,sqrt,1,2,100,COMPLETE
23,23,430727.8483320316,2024-07-09 12:09:44.672001,2024-07-09 12:09:46.827048,0 days 00:00:02.155047,False,20.0,sqrt,1,2,100,COMPLETE
24,24,430727.8483320316,2024-07-09 12:09:46.827227,2024-07-09 12:09:48.985704,0 days 00:00:02.158477,False,20.0,sqrt,1,2,100,COMPLETE
25,25,405759.7960547484,2024-07-09 12:09:48.985894,2024-07-09 12:09:51.236249,0 days 00:00:02.250355,False,20.0,sqrt,1,2,200,COMPLETE
26,26,729566.2124054065,2024-07-09 12:09:51.236431,2024-07-09 12:09:53.546823,0 days 00:00:02.310392,True,20.0,sqrt,1,2,200,COMPLETE
27,27,405759.7960547484,2024-07-09 12:09:53.547016,2024-07-09 12:09:55.778296,0 days 00:00:02.231280,False,20.0,sqrt,1,2,200,COMPLETE
28,28,982990.0079159595,2024-07-09 12:09:55.778473,2024-07-09 12:09:57.978153,0 days 00:00:02.199680,False,20.0,sqrt,4,10,200,COMPLETE
29,29,1095512.047345353,2024-07-09 12:09:57.978327,2024-07-09 12:10:00.224805,0 days 00:00:02.246478,True,20.0,sqrt,2,5,200,COMPLETE
30,30,605164.3842827947,2024-07-09 12:10:00.224999,2024-07-09 12:10:02.494788,0 days 00:00:02.269789,False,20.0,sqrt,2,5,200,COMPLETE
31,31,405759.7960547484,2024-07-09 12:10:02.494966,2024-07-09 12:10:04.756312,0 days 00:00:02.261346,False,20.0,sqrt,1,2,200,COMPLETE
32,32,405759.7960547484,2024-07-09 12:10:04.756479,2024-07-09 12:10:07.100881,0 days 00:00:02.344402,False,20.0,sqrt,1,2,200,COMPLETE
33,33,405759.7960547484,2024-07-09 12:10:07.101055,2024-07-09 12:10:09.371694,0 days 00:00:02.270639,False,20.0,sqrt,1,2,200,COMPLETE
34,34,405759.7960547484,2024-07-09 12:10:09.371886,2024-07-09 12:10:11.601694,0 days 00:00:02.229808,False,20.0,sqrt,1,2,200,COMPLETE
35,35,659493.707097776,2024-07-09 12:10:11.601875,2024-07-09 12:10:13.801452,0 days 00:00:02.199577,False,10.0,log2,1,5,200,COMPLETE
36,36,405759.7960547484,2024-07-09 12:10:13.801625,2024-07-09 12:10:16.056251,0 days 00:00:02.254626,False,20.0,sqrt,1,2,200,COMPLETE
37,37,1446596.2418381397,2024-07-09 12:10:16.056440,2024-07-09 12:10:18.564325,0 days 00:00:02.507885,True,20.0,log2,4,2,500,COMPLETE
38,38,517902.52994770213,2024-07-09 12:10:18.564496,2024-07-09 12:10:20.775941,0 days 00:00:02.211445,False,,sqrt,1,5,200,COMPLETE
39,39,2920670.007230498,2024-07-09 12:10:20.776137,2024-07-09 12:10:22.956706,0 days 00:00:02.180569,False,5.0,sqrt,2,2,200,COMPLETE
40,40,748892.8982097133,2024-07-09 12:10:22.956889,2024-07-09 12:10:25.560307,0 days 00:00:02.603418,True,20.0,log2,1,2,500,COMPLETE
41,41,405759.7960547484,2024-07-09 12:10:25.560499,2024-07-09 12:10:27.802005,0 days 00:00:02.241506,False,20.0,sqrt,1,2,200,COMPLETE
42,42,405759.7960547484,2024-07-09 12:10:27.802178,2024-07-09 12:10:30.035509,0 days 00:00:02.233331,False,20.0,sqrt,1,2,200,COMPLETE
43,43,405759.7960547484,2024-07-09 12:10:30.035699,2024-07-09 12:10:32.595924,0 days 00:00:02.560225,False,20.0,sqrt,1,2,200,COMPLETE
44,44,3336698.294222396,2024-07-09 12:10:32.596140,2024-07-09 12:10:34.990213,0 days 00:00:02.394073,False,5.0,sqrt,1,2,10,COMPLETE
45,45,924316.9710357182,2024-07-09 12:10:34.990420,2024-07-09 12:10:37.095025,0 days 00:00:02.104605,False,,sqrt,4,2,50,COMPLETE
46,46,405759.7960547484,2024-07-09 12:10:37.095194,2024-07-09 12:10:39.325214,0 days 00:00:02.230020,False,20.0,sqrt,1,2,200,COMPLETE
47,47,837578.9412603221,2024-07-09 12:10:39.325382,2024-07-09 12:10:41.561619,0 days 00:00:02.236237,False,10.0,log2,1,10,200,COMPLETE
48,48,549961.0358233156,2024-07-09 12:10:41.561791,2024-07-09 12:10:43.851468,0 days 00:00:02.289677,False,20.0,sqrt,2,2,200,COMPLETE
49,49,499056.69317493367,2024-07-09 12:10:43.851655,2024-07-09 12:10:45.831934,0 days 00:00:01.980279,False,20.0,sqrt,1,2,10,COMPLETE
