,number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
0,0,697830.4795318148,2024-07-09 12:38:17.648751,2024-07-09 12:38:39.091210,0 days 00:00:21.442459,False,20.0,log2,2,2,500,COMPLETE
1,1,624542.9286313517,2024-07-09 12:38:39.091969,2024-07-09 12:38:49.361095,0 days 00:00:10.269126,False,50.0,sqrt,4,2,200,COMPLETE
2,2,412155.7305742977,2024-07-09 12:38:49.361627,2024-07-09 12:38:56.060277,0 days 00:00:06.698650,False,50.0,sqrt,2,2,50,COMPLETE
3,3,701028.471277866,2024-07-09 12:38:56.060716,2024-07-09 12:39:03.549821,0 days 00:00:07.489105,False,10.0,log2,4,5,200,COMPLETE
4,4,764388.2373418692,2024-07-09 12:39:03.550240,2024-07-09 12:39:09.390986,0 days 00:00:05.840746,True,10.0,sqrt,4,2,200,COMPLETE
5,5,638178.8120570341,2024-07-09 12:39:09.391365,2024-07-09 12:39:15.713093,0 days 00:00:06.321728,True,20.0,sqrt,4,5,200,COMPLETE
6,6,624542.9286313514,2024-07-09 12:39:15.713467,2024-07-09 12:39:23.675050,0 days 00:00:07.961583,False,,sqrt,4,2,200,COMPLETE
7,7,758877.8232772315,2024-07-09 12:39:23.675399,2024-07-09 12:39:28.362330,0 days 00:00:04.686931,True,10.0,sqrt,1,5,100,COMPLETE
8,8,697830.4795318149,2024-07-09 12:39:28.362712,2024-07-09 12:39:43.950699,0 days 00:00:15.587987,False,20.0,sqrt,2,2,500,COMPLETE
9,9,484170.1982669158,2024-07-09 12:39:43.951085,2024-07-09 12:39:49.589723,0 days 00:00:05.638638,False,50.0,sqrt,4,2,100,COMPLETE
10,10,2355349.598199148,2024-07-09 12:39:49.590085,2024-07-09 12:39:53.569726,0 days 00:00:03.979641,True,5.0,log2,2,10,50,COMPLETE
11,11,704702.587465276,2024-07-09 12:39:53.569977,2024-07-09 12:39:59.218649,0 days 00:00:05.648672,False,50.0,sqrt,1,10,100,COMPLETE
12,12,206860.40812426613,2024-07-09 12:39:59.219011,2024-07-09 12:40:03.097203,0 days 00:00:03.878192,False,50.0,sqrt,2,2,10,COMPLETE
13,13,206860.40812426605,2024-07-09 12:40:03.097675,2024-07-09 12:42:35.949393,0 days 00:02:32.851718,False,50.0,sqrt,2,2,10,COMPLETE
14,14,206860.4081242661,2024-07-09 12:42:35.950199,2024-07-09 12:42:39.883281,0 days 00:00:03.933082,False,50.0,log2,2,2,10,COMPLETE
15,15,276155.31219521613,2024-07-09 12:42:39.883470,2024-07-09 12:42:42.041454,0 days 00:00:02.157984,False,,log2,2,10,10,COMPLETE
16,16,1836937.6829981932,2024-07-09 12:42:42.041635,2024-07-09 12:42:44.052171,0 days 00:00:02.010536,False,5.0,log2,2,2,10,COMPLETE
17,17,206860.4081242661,2024-07-09 12:42:44.052347,2024-07-09 12:42:46.481363,0 days 00:00:02.429016,False,50.0,log2,2,2,10,COMPLETE
18,18,422853.3757103465,2024-07-09 12:42:46.481557,2024-07-09 12:42:48.588875,0 days 00:00:02.107318,True,50.0,log2,1,10,10,COMPLETE
19,19,231295.98939643087,2024-07-09 12:42:48.589041,2024-07-09 12:58:17.279103,0 days 00:15:28.690062,False,50.0,log2,2,5,10,COMPLETE
20,20,1836937.6829981934,2024-07-09 12:58:17.279262,2024-07-09 12:58:19.366122,0 days 00:00:02.086860,False,5.0,log2,2,2,10,COMPLETE
21,21,206860.40812426605,2024-07-09 12:58:19.366298,2024-07-09 13:18:53.194990,0 days 00:20:33.828692,False,50.0,log2,2,2,10,COMPLETE
22,22,206860.40812426605,2024-07-09 13:18:53.195177,2024-07-09 13:18:55.351783,0 days 00:00:02.156606,False,50.0,log2,2,2,10,COMPLETE
23,23,206860.40812426605,2024-07-09 13:18:55.351958,2024-07-09 13:18:57.514135,0 days 00:00:02.162177,False,50.0,log2,2,2,10,COMPLETE
24,24,206860.4081242661,2024-07-09 13:18:57.514315,2024-07-09 13:18:59.681377,0 days 00:00:02.167062,False,,log2,2,2,10,COMPLETE
25,25,505523.04350476176,2024-07-09 13:18:59.681544,2024-07-09 13:19:41.101574,0 days 00:00:41.420030,False,50.0,log2,1,2,50,COMPLETE
26,26,276521.31712453114,2024-07-09 13:19:41.101752,2024-07-09 13:19:43.430256,0 days 00:00:02.328504,True,50.0,log2,2,2,10,COMPLETE
27,27,640271.8784136449,2024-07-09 13:19:43.430423,2024-07-09 13:20:32.816201,0 days 00:00:49.385778,False,50.0,log2,2,2,500,COMPLETE
28,28,231295.98939643084,2024-07-09 13:20:32.816544,2024-07-09 13:20:35.251459,0 days 00:00:02.434915,False,50.0,sqrt,2,5,10,COMPLETE
29,29,645252.3074280975,2024-07-09 13:20:35.251662,2024-07-09 13:20:41.932093,0 days 00:00:06.680431,False,20.0,log2,2,10,500,COMPLETE
30,30,1836673.6911234867,2024-07-09 13:20:41.932396,2024-07-09 13:20:44.130702,0 days 00:00:02.198306,False,5.0,log2,1,2,10,COMPLETE
31,31,206860.4081242661,2024-07-09 13:20:44.130884,2024-07-09 13:20:46.331796,0 days 00:00:02.200912,False,50.0,log2,2,2,10,COMPLETE
32,32,206860.4081242661,2024-07-09 13:20:46.331987,2024-07-09 13:20:48.998859,0 days 00:00:02.666872,False,50.0,log2,2,2,10,COMPLETE
33,33,206860.4081242661,2024-07-09 13:20:48.999052,2024-07-09 13:20:51.255641,0 days 00:00:02.256589,False,50.0,log2,2,2,10,COMPLETE
34,34,412155.7305742979,2024-07-09 13:20:51.255826,2024-07-09 13:20:54.002071,0 days 00:00:02.746245,False,50.0,log2,2,2,50,COMPLETE
35,35,475161.0807480266,2024-07-09 13:20:54.002269,2024-07-09 13:20:56.337793,0 days 00:00:02.335524,False,10.0,sqrt,2,2,10,COMPLETE
36,36,206860.4081242661,2024-07-09 13:20:56.337975,2024-07-09 13:20:58.619653,0 days 00:00:02.281678,False,50.0,log2,2,2,10,COMPLETE
37,37,638178.8120570342,2024-07-09 13:20:58.619833,2024-07-09 13:21:01.829180,0 days 00:00:03.209347,True,20.0,sqrt,4,2,200,COMPLETE
38,38,621156.7892155083,2024-07-09 13:21:01.829371,2024-07-09 13:21:05.078903,0 days 00:00:03.249532,False,,log2,2,5,100,COMPLETE
39,39,808577.1269286101,2024-07-09 13:21:05.079093,2024-07-09 13:21:09.820247,0 days 00:00:04.741154,False,10.0,sqrt,4,2,500,COMPLETE
40,40,715699.324788413,2024-07-09 13:21:09.820445,2024-07-09 13:21:13.317937,0 days 00:00:03.497492,True,50.0,sqrt,2,2,200,COMPLETE
41,41,206860.4081242661,2024-07-09 13:21:13.318143,2024-07-09 13:21:15.480916,0 days 00:00:02.162773,False,50.0,log2,2,2,10,COMPLETE
42,42,206860.40812426613,2024-07-09 13:21:15.481135,2024-07-09 13:21:17.675025,0 days 00:00:02.193890,False,50.0,log2,2,2,10,COMPLETE
43,43,206860.4081242661,2024-07-09 13:21:17.675231,2024-07-09 13:21:19.895163,0 days 00:00:02.219932,False,50.0,log2,2,2,10,COMPLETE
44,44,206860.40812426613,2024-07-09 13:21:19.895367,2024-07-09 13:21:22.155261,0 days 00:00:02.259894,False,50.0,log2,2,2,10,COMPLETE
