,number,value,datetime_start,datetime_complete,duration,params_alpha,params_copy_X,params_fit_intercept,params_solver,state
0,0,1585699.1669002762,2024-07-11 16:33:46.460508,2024-07-11 16:33:48.638351,0 days 00:00:02.177843,0.001,True,False,lsqr,COMPLETE
1,1,1585698.5792595025,2024-07-11 16:33:48.638506,2024-07-11 16:33:50.735207,0 days 00:00:02.096701,0.1,True,False,lsqr,COMPLETE
2,2,1585699.1134675164,2024-07-11 16:33:50.735368,2024-07-11 16:33:52.850935,0 days 00:00:02.115567,0.01,True,False,lsqr,COMPLETE
3,3,1586085.9910158392,2024-07-11 16:33:52.851119,2024-07-11 16:33:54.895270,0 days 00:00:02.044151,5.0,True,False,auto,COMPLETE
4,4,1585570.948583235,2024-07-11 16:33:54.895447,2024-07-11 16:33:57.303094,0 days 00:00:02.407647,0.5,True,False,saga,COMPLETE
5,5,397630.01221133757,2024-07-11 16:33:57.303252,2024-07-11 16:33:59.352214,0 days 00:00:02.048962,0.5,False,True,sparse_cg,COMPLETE
6,6,396775.7584813139,2024-07-11 16:33:59.352368,2024-07-11 16:34:01.613319,0 days 00:00:02.260951,5.0,True,True,svd,COMPLETE
7,7,1585675.3738086976,2024-07-11 16:34:01.613495,2024-07-11 16:34:03.679884,0 days 00:00:02.066389,0.5,False,False,lsqr,COMPLETE
8,8,1584497.4059858767,2024-07-11 16:34:03.680054,2024-07-11 16:34:06.058670,0 days 00:00:02.378616,0.5,True,False,sag,COMPLETE
9,9,396822.3337666534,2024-07-11 16:34:06.058823,2024-07-11 16:34:08.258144,0 days 00:00:02.199321,0.01,True,True,auto,COMPLETE
10,10,396775.7584813139,2024-07-11 16:34:08.258299,2024-07-11 16:34:10.533754,0 days 00:00:02.275455,5.0,False,True,svd,COMPLETE
11,11,396775.75848131377,2024-07-11 16:34:10.533932,2024-07-11 16:34:12.750840,0 days 00:00:02.216908,5.0,False,True,svd,COMPLETE
12,12,396775.75848131377,2024-07-11 16:34:12.751018,2024-07-11 16:34:15.010747,0 days 00:00:02.259729,5.0,False,True,svd,COMPLETE
13,13,396812.9067438245,2024-07-11 16:34:15.010909,2024-07-11 16:34:17.049226,0 days 00:00:02.038317,1.0,False,True,cholesky,COMPLETE
14,14,396731.3446220081,2024-07-11 16:34:17.049384,2024-07-11 16:34:19.416827,0 days 00:00:02.367443,10.0,False,True,svd,COMPLETE
15,15,396731.34462200804,2024-07-11 16:34:19.417031,2024-07-11 16:34:21.644507,0 days 00:00:02.227476,10.0,False,True,svd,COMPLETE
16,16,396731.34462200827,2024-07-11 16:34:21.644667,2024-07-11 16:34:23.882052,0 days 00:00:02.237385,10.0,False,True,svd,COMPLETE
17,17,396731.3446219721,2024-07-11 16:34:23.882264,2024-07-11 16:34:25.958030,0 days 00:00:02.075766,10.0,False,True,cholesky,COMPLETE
