,number,value,datetime_start,datetime_complete,duration,params_alpha,params_copy_X,params_fit_intercept,params_solver,state
0,0,110049724.4672583,2024-07-04 16:35:32.561307,2024-07-04 16:35:34.790412,0 days 00:00:02.229105,100.0,True,True,lsqr,COMPLETE
1,1,4758321.501690584,2024-07-04 16:35:34.790551,2024-07-04 16:35:36.911512,0 days 00:00:02.120961,0.5,True,True,cholesky,COMPLETE
2,2,315912537.7893108,2024-07-04 16:35:36.911656,2024-07-04 16:35:38.912097,0 days 00:00:02.000441,0.001,False,False,saga,COMPLETE
3,3,4901936.1823804835,2024-07-04 16:35:38.912234,2024-07-04 16:35:40.988274,0 days 00:00:02.076040,100.0,False,True,svd,COMPLETE
4,4,110049724.4672582,2024-07-04 16:35:40.988426,2024-07-04 16:35:43.198239,0 days 00:00:02.209813,5.0,False,True,lsqr,COMPLETE
5,5,110049724.46488632,2024-07-04 16:35:43.198396,2024-07-04 16:35:45.149688,0 days 00:00:01.951292,5.0,True,True,sparse_cg,COMPLETE
6,6,315912537.7893108,2024-07-04 16:35:45.149847,2024-07-04 16:35:47.160860,0 days 00:00:02.011013,1.0,False,False,saga,COMPLETE
7,7,183240885.7476001,2024-07-04 16:35:47.161010,2024-07-04 16:35:49.141082,0 days 00:00:01.980072,5.0,True,False,lsqr,COMPLETE
8,8,110049724.46725823,2024-07-04 16:35:49.141279,2024-07-04 16:35:51.080279,0 days 00:00:01.939000,0.01,True,True,lsqr,COMPLETE
9,9,315912537.7893108,2024-07-04 16:35:51.080434,2024-07-04 16:35:53.165870,0 days 00:00:02.085436,1.0,True,False,saga,COMPLETE
10,10,4758321.501690584,2024-07-04 16:35:53.166008,2024-07-04 16:35:55.111511,0 days 00:00:01.945503,0.5,True,True,cholesky,COMPLETE
11,11,4758321.501690584,2024-07-04 16:35:55.111659,2024-07-04 16:35:57.078280,0 days 00:00:01.966621,0.5,True,True,cholesky,COMPLETE
12,12,4758321.501690584,2024-07-04 16:35:57.078418,2024-07-04 16:35:59.047234,0 days 00:00:01.968816,0.5,True,True,cholesky,COMPLETE
13,13,125645849.74699575,2024-07-04 16:35:59.047373,2024-07-04 16:36:01.189845,0 days 00:00:02.142472,0.5,True,True,sag,COMPLETE
14,14,5287634.819958868,2024-07-04 16:36:01.189990,2024-07-04 16:36:03.226466,0 days 00:00:02.036476,1000.0,True,True,cholesky,COMPLETE
15,15,4785158.907678696,2024-07-04 16:36:03.226628,2024-07-04 16:36:05.218905,0 days 00:00:01.992277,10.0,True,True,cholesky,COMPLETE
16,16,4755404.251921874,2024-07-04 16:36:05.219049,2024-07-04 16:36:07.252152,0 days 00:00:02.033103,0.1,True,True,auto,COMPLETE
17,17,4755404.251921874,2024-07-04 16:36:07.252303,2024-07-04 16:36:09.222802,0 days 00:00:01.970499,0.1,True,True,auto,COMPLETE
18,18,4772918.074211591,2024-07-04 16:36:09.222943,2024-07-04 16:36:11.207826,0 days 00:00:01.984883,0.1,False,False,auto,COMPLETE
19,19,4755404.251921874,2024-07-04 16:36:11.207967,2024-07-04 16:36:13.242226,0 days 00:00:02.034259,0.1,True,True,auto,COMPLETE
20,20,4755404.251921874,2024-07-04 16:36:13.242371,2024-07-04 16:36:15.236162,0 days 00:00:01.993791,0.1,True,True,auto,COMPLETE
