,number,value,datetime_start,datetime_complete,duration,params_alpha,params_copy_X,params_fit_intercept,params_solver,state
0,0,72760789.29268062,2024-07-09 12:34:35.688708,2024-07-09 12:34:39.053557,0 days 00:00:03.364849,0.1,True,False,lsqr,COMPLETE
1,1,67684115.12487535,2024-07-09 12:34:39.053833,2024-07-09 12:34:44.708749,0 days 00:00:05.654916,10.0,True,True,saga,COMPLETE
2,2,67684115.12487535,2024-07-09 12:34:44.709046,2024-07-09 12:34:50.319176,0 days 00:00:05.610130,0.5,True,True,saga,COMPLETE
3,3,1073627.166701949,2024-07-09 12:34:50.319506,2024-07-09 12:34:53.756482,0 days 00:00:03.436976,10.0,True,False,auto,COMPLETE
4,4,67684115.12487535,2024-07-09 12:34:53.756775,2024-07-09 12:34:59.468286,0 days 00:00:05.711511,1.0,False,True,saga,COMPLETE
5,5,72029147.23626672,2024-07-09 12:34:59.468539,2024-07-09 12:35:02.768950,0 days 00:00:03.300411,0.5,False,True,lsqr,COMPLETE
6,6,1070989.7016942624,2024-07-09 12:35:02.769238,2024-07-09 12:35:06.160321,0 days 00:00:03.391083,0.1,True,True,svd,COMPLETE
7,7,67684115.12487535,2024-07-09 12:35:06.160601,2024-07-09 12:35:11.819026,0 days 00:00:05.658425,5.0,True,True,saga,COMPLETE
8,8,1073715.193004321,2024-07-09 12:35:11.819405,2024-07-09 12:35:15.168197,0 days 00:00:03.348792,1.0,False,False,cholesky,COMPLETE
9,9,1070991.767490181,2024-07-09 12:35:15.168471,2024-07-09 12:35:18.653849,0 days 00:00:03.485378,0.001,False,True,auto,COMPLETE
10,10,1073727.3538737437,2024-07-09 12:35:18.654243,2024-07-09 12:35:22.083951,0 days 00:00:03.429708,0.1,True,False,svd,COMPLETE
11,11,1070991.767490181,2024-07-09 12:35:22.084260,2024-07-09 12:35:25.470925,0 days 00:00:03.386665,0.001,False,True,auto,COMPLETE
12,12,63964519.84458903,2024-07-09 12:35:25.471234,2024-07-09 12:35:30.683098,0 days 00:00:05.211864,0.001,False,True,sag,COMPLETE
13,13,1072096.2538742153,2024-07-09 12:35:30.683396,2024-07-09 12:35:34.059075,0 days 00:00:03.375679,1000.0,False,True,svd,COMPLETE
14,14,41348838.69743556,2024-07-09 12:35:34.059377,2024-07-09 12:35:37.321669,0 days 00:00:03.262292,0.01,True,True,sparse_cg,COMPLETE
15,15,1070981.0126313071,2024-07-09 12:35:37.321939,2024-07-09 12:35:40.684844,0 days 00:00:03.362905,100.0,False,True,auto,COMPLETE
16,16,1070981.0126281455,2024-07-09 12:35:40.685111,2024-07-09 12:35:44.229584,0 days 00:00:03.544473,100.0,True,True,svd,COMPLETE
17,17,41348838.69743556,2024-07-09 12:35:44.229872,2024-07-09 12:35:47.687411,0 days 00:00:03.457539,100.0,False,True,sparse_cg,COMPLETE
18,18,1073642.7273696857,2024-07-09 12:35:47.687694,2024-07-09 12:35:51.242360,0 days 00:00:03.554666,100.0,True,False,cholesky,COMPLETE
19,19,63964519.84458903,2024-07-09 12:35:51.242644,2024-07-09 12:35:56.535017,0 days 00:00:05.292373,100.0,False,True,sag,COMPLETE
20,20,1070981.0126313071,2024-07-09 12:35:56.535302,2024-07-09 12:35:59.927252,0 days 00:00:03.391950,100.0,True,True,auto,COMPLETE
21,21,1070981.0126313071,2024-07-09 12:35:59.927510,2024-07-09 12:36:03.449783,0 days 00:00:03.522273,100.0,True,True,auto,COMPLETE
22,22,1070981.0126313071,2024-07-09 12:36:03.450039,2024-07-09 12:36:06.829483,0 days 00:00:03.379444,100.0,True,True,auto,COMPLETE
23,23,1070981.0126281455,2024-07-09 12:36:06.829765,2024-07-09 12:36:10.533507,0 days 00:00:03.703742,100.0,True,True,svd,COMPLETE
24,24,1070981.0126281455,2024-07-09 12:36:10.533803,2024-07-09 12:36:14.463719,0 days 00:00:03.929916,100.0,True,True,svd,COMPLETE
25,25,1072096.2538742153,2024-07-09 12:36:14.464051,2024-07-09 12:36:18.283557,0 days 00:00:03.819506,1000.0,True,True,svd,COMPLETE
26,26,1073669.2855751705,2024-07-09 12:36:18.283830,2024-07-09 12:36:22.099415,0 days 00:00:03.815585,5.0,True,False,svd,COMPLETE
27,27,1070991.579054369,2024-07-09 12:36:22.099712,2024-07-09 12:36:25.984100,0 days 00:00:03.884388,0.01,True,True,svd,COMPLETE
28,28,1070981.0126281455,2024-07-09 12:36:25.984370,2024-07-09 12:36:29.958890,0 days 00:00:03.974520,100.0,True,True,svd,COMPLETE
29,29,72760789.29268062,2024-07-09 12:36:29.959250,2024-07-09 12:36:33.977145,0 days 00:00:04.017895,100.0,True,False,lsqr,COMPLETE
30,30,1070981.0126281455,2024-07-09 12:36:33.977482,2024-07-09 12:36:38.174140,0 days 00:00:04.196658,100.0,True,True,svd,COMPLETE
31,31,1070981.0126281455,2024-07-09 12:36:38.174433,2024-07-09 12:36:42.256053,0 days 00:00:04.081620,100.0,True,True,svd,COMPLETE
32,32,1070981.0126281455,2024-07-09 12:36:42.256536,2024-07-09 12:36:46.426174,0 days 00:00:04.169638,100.0,True,True,svd,COMPLETE
33,33,1070846.4398810528,2024-07-09 12:36:46.426472,2024-07-09 12:36:50.417267,0 days 00:00:03.990795,10.0,True,True,svd,COMPLETE
34,34,1070846.4398810528,2024-07-09 12:36:50.417621,2024-07-09 12:36:54.911774,0 days 00:00:04.494153,10.0,True,True,svd,COMPLETE
35,35,1070846.4398810528,2024-07-09 12:36:54.912070,2024-07-09 12:36:59.253313,0 days 00:00:04.341243,10.0,True,True,svd,COMPLETE
36,36,1070846.4398810528,2024-07-09 12:36:59.253855,2024-07-09 12:37:03.721346,0 days 00:00:04.467491,10.0,True,True,svd,COMPLETE
37,37,72029147.23626672,2024-07-09 12:37:03.721705,2024-07-09 12:37:08.626301,0 days 00:00:04.904596,10.0,True,True,lsqr,COMPLETE
38,38,68636405.6325409,2024-07-09 12:37:08.626828,2024-07-09 12:37:15.549341,0 days 00:00:06.922513,10.0,True,False,saga,COMPLETE
39,39,1070846.4398777047,2024-07-09 12:37:15.549653,2024-07-09 12:37:20.556697,0 days 00:00:05.007044,10.0,True,True,cholesky,COMPLETE
40,40,1070846.4398777047,2024-07-09 12:37:20.557242,2024-07-09 12:37:25.113721,0 days 00:00:04.556479,10.0,True,True,cholesky,COMPLETE
41,41,1070846.4398777047,2024-07-09 12:37:25.114161,2024-07-09 12:37:29.774734,0 days 00:00:04.660573,10.0,True,True,cholesky,COMPLETE
42,42,1070846.4398777047,2024-07-09 12:37:29.775023,2024-07-09 12:37:34.638433,0 days 00:00:04.863410,10.0,True,True,cholesky,COMPLETE
43,43,1070846.4398777047,2024-07-09 12:37:34.638933,2024-07-09 12:37:39.492210,0 days 00:00:04.853277,10.0,True,True,cholesky,COMPLETE
44,44,1070846.4398777047,2024-07-09 12:37:39.492803,2024-07-09 12:37:44.622786,0 days 00:00:05.129983,10.0,True,True,cholesky,COMPLETE
45,45,1070846.4398777047,2024-07-09 12:37:44.623274,2024-07-09 12:37:50.204108,0 days 00:00:05.580834,10.0,True,True,cholesky,COMPLETE
46,46,1070981.5111355337,2024-07-09 12:37:50.204723,2024-07-09 12:37:56.215608,0 days 00:00:06.010885,0.5,True,True,cholesky,COMPLETE
47,47,1073627.166701949,2024-07-09 12:37:56.216413,2024-07-09 12:38:03.649695,0 days 00:00:07.433282,10.0,True,False,cholesky,COMPLETE
48,48,1070846.4398777047,2024-07-09 12:38:03.650388,2024-07-09 12:38:10.681061,0 days 00:00:07.030673,10.0,True,True,cholesky,COMPLETE
49,49,1070971.6169853697,2024-07-09 12:38:10.681659,2024-07-09 12:38:17.600273,0 days 00:00:06.918614,1.0,True,True,cholesky,COMPLETE
