,number,value,datetime_start,datetime_complete,duration,params_C,params_coef0,params_degree,params_gamma,params_kernel,state
0,0,0.04854253148412284,2024-07-04 16:42:29.180506,2024-07-04 16:42:31.112052,0 days 00:00:01.931546,10.0,0.0,2,auto,rbf,COMPLETE
1,1,5124724.653585269,2024-07-04 16:42:31.112189,2024-07-04 16:42:33.132102,0 days 00:00:02.019913,1.0,5.0,3,scale,linear,COMPLETE
2,2,25636195537414.71,2024-07-04 16:42:33.132249,2024-07-04 16:42:35.153006,0 days 00:00:02.020757,100.0,0.5,5,auto,linear,COMPLETE
3,3,5.394920594281252,2024-07-04 16:42:35.153162,2024-07-04 16:42:37.103834,0 days 00:00:01.950672,0.01,1.0,3,auto,rbf,COMPLETE
4,4,3.9665879182367494,2024-07-04 16:42:37.104013,2024-07-04 16:42:39.197009,0 days 00:00:02.092996,10.0,5.0,5,scale,rbf,COMPLETE
5,5,3.953128874041911,2024-07-04 16:42:39.197184,2024-07-04 16:42:41.558467,0 days 00:00:02.361283,100.0,5.0,5,scale,rbf,COMPLETE
6,6,0.04854253148412284,2024-07-04 16:42:41.558705,2024-07-04 16:42:43.730768,0 days 00:00:02.172063,10.0,5.0,2,auto,rbf,COMPLETE
7,7,1398911225875.7695,2024-07-04 16:42:43.730908,2024-07-04 16:42:46.201972,0 days 00:00:02.471064,10.0,1.0,5,auto,linear,COMPLETE
8,8,1696565608.5548596,2024-07-04 16:42:46.202110,2024-07-04 16:42:50.126929,0 days 00:00:03.924819,0.1,5.0,3,auto,linear,COMPLETE
9,9,1398911225875.7695,2024-07-04 16:42:50.127506,2024-07-04 16:42:52.968149,0 days 00:00:02.840643,10.0,0.5,2,scale,linear,COMPLETE
10,10,5.394920594281252,2024-07-04 16:42:52.968288,2024-07-04 16:42:55.669853,0 days 00:00:02.701565,0.01,0.0,2,auto,rbf,COMPLETE
